Name, EA,formula
D5-benzophenone radical,0.612000,C13H5D10O
"Acetophenone, 3'-chloro-",0.616000,C8H7ClO
Lithium anion,0.618000,Li-
13CO,0.620000,C13H10O
benzene..V anion,0.620000,C6H6V-
"Cobalt, dicarbonyl(η5-2,4-cyclopentadien-1-yl)-",0.620000,C7H5CoO2
"Cobalt, η3-allyl tricarbonyl",0.620000,C6H5CoO3
Ru6C(CO)11 dianion,0.620000,C12O11Ru6-2
Ru6(CO)12 dianion,0.620000,C12O12Ru6-2
(naphthalene)5 radical anion,0.620000,C50H40-
pyridine..NO radical anion,0.620000,C5H5N2O-
(NH3)15..Li anion,0.620000,H45LiN15-
"H2O..1,3-O2C-C6H4-CO2 dianion",0.620000,C8H6O5-2
(pyrene)2 radical anion,0.620000,C32H20-
Benzophenone,0.620000,C13H10O
p-Fluorobenzophenone,0.620000,C13H9FO
EtNH anion,0.621000,C2H6N-
Glyoxal,0.621000,C2H2O2
Trichloromethane,0.622000,CHCl3
Methyl 3-trifluoromethylbenzoate,0.624000,C9H7F3O2
Ge2O2 anion,0.625000,Ge2O2-
PhMe..Sc anion,0.630000,C7H8Sc-
(naphthalene)6 radical anion,0.630000,C60H48-
(Xe)4..NO anion,0.630000,NOXe4-
(toluene)139 radical anion,0.630000,C973H1112-
"Cyclobutane, octafluoro-",0.630000,C4F8
Trisilicon carbide,0.630000,CSi3
Dichloroboron,0.630000,BCl2
Fluoranthene,0.630000,C16H10
Cesium iodide,0.630000,CsI
"Benzaldehyde, 2-fluoro-",0.637000,C7H5FO
(acenaphthene)9 radical anion,0.640000,C108H90-
Au31,0.640000,Au31
Al2C2,0.640000,C2Al2
Tetrachloroethylene,0.640000,C2Cl4
3-tBu-bicyclo[1.1.1]pentan-1-ide anion,0.642000,C9H15-
2'-(Trifluoromethyl)acetophenone,0.642000,C9H7F3O
2-Naphthalenecarboxaldehyde,0.642000,C11H8O
potassium bromide,0.642000,BrK
Ni(CO)2,0.643000,C2NiO2
CD2,0.645000,CD2
tBuCH=C radical,0.645000,C6H10
2-Naphthalenecarbonitrile,0.646000,C11H7N
iPr2N anion,0.647000,C6H14N-
K2(KI)7 radical anion,0.650000,I7K9-
PdBr4 dianion,0.650000,Br4Pd-2
(naphthalene)7 radical anion,0.650000,C70H56-
(NH3)13..Li anion,0.650000,H39LiN13-
"Benzene, (nitromethyl)-",0.650000,C7H7NO2
(H2O)2..uracil radical anion,0.650000,C4H8N2O4-
Na3O anion,0.650000,Na3O-
Methylene,0.652000,CH2
CH2=C(Me)C(=CH2)CH2 anion,0.654000,C6H9-
"Benzaldehyde, 4-chloro-",0.659000,C7H5ClO
naphthalene..NO radical anion,0.660000,C10H8NO-
(NH3)2..(NH4+) dianion,0.660000,H10N3-2
(m-terphenyl)5 radical anion,0.660000,C90H70-
"ter(2,2')thiophene radical anion",0.660000,C12H8S3-
"1,1':4',1'':4'',1'''-Quaterphenyl",0.660000,C24H18
Au24,0.660000,Au24
C6H5Ag,0.660000,C6H5Ag
Lithium bromide,0.660000,BrLi
"Anisole, 3,5-dimethyl-4-nitro-",0.663000,C9H11NO3
cobalt,0.663000,Co
